,cik_str,ticker,title
521,76321,PKDCD,PARKER DRILLING CO /DE/
522,76334,PH,PARKER HANNIFIN CORP
523,76605,PATK,PATRICK INDUSTRIES INC
524,77159,PVAC,PENN VIRGINIA CORP
525,77281,PEI,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST
526,77360,PNR,PENTAIR plc
527,77476,PEP,PEPSICO INC
528,77543,TPC,TUTOR PERINI CORP
529,77877,PDCE,"PDC ENERGY, INC."
530,78003,PFE,PFIZER INC
531,78128,WTR,"Essential Utilities, Inc."
532,78128,WTRG,"Essential Utilities, Inc."
533,78150,PHI,PLDT Inc.
534,78239,PVH,PVH CORP. /DE/
535,78749,AGYS,AGILYSYS INC
536,78814,PBI,PITNEY BOWES INC /DE/
537,78814,PBI-PB,PITNEY BOWES INC /DE/
538,78890,BCO,BRINKS CO
539,79282,BRO,"BROWN & BROWN, INC."
540,79661,PRSI,PORTSMOUTH SQUARE INC
541,79879,PPG,PPG INDUSTRIES INC
542,80035,PLPC,PREFORMED LINE PRODUCTS CO
543,80172,NPK,NATIONAL PRESTO INDUSTRIES INC
544,80420,POWL,POWELL INDUSTRIES INC
545,80424,PG,PROCTER & GAMBLE Co
546,80661,PGR,PROGRESSIVE CORP/OH/
547,81157,PGAI,PGI INC
548,81362,KWR,QUAKER CHEMICAL CORP
549,81955,RAND,RAND CAPITAL CORP
550,82020,USLM,UNITED STATES LIME & MINERALS INC
551,82166,RAVN,RAVEN INDUSTRIES INC
552,82473,IHT,INNSUITES HOSPITALITY TRUST
553,82811,RBC,REGAL BELOIT CORP
554,83350,RSRV,RESERVE PETROLEUM CO
555,84112,RSKIA,"GEORGE RISK INDUSTRIES, INC."
556,84129,RAD,RITE AID CORP
557,84246,RLI,RLI CORP
558,84748,ROG,ROGERS CORP
559,84839,ROL,ROLLINS INC
560,85535,RGLD,ROYAL GOLD INC
561,85961,R,RYDER SYSTEM INC
562,86115,SFE,SAFEGUARD SCIENTIFICS INC
563,86264,CRBO,Carbon Energy Corp
564,86312,TRV,"TRAVELERS COMPANIES, INC."
565,86759,SFEF,SANTA FE FINANCIAL CORP
566,87050,NEON,Neonode Inc.
567,87347,SLB,SCHLUMBERGER LIMITED/NV
568,87802,SCND,SCIENTIFIC INDUSTRIES INC
569,88000,SLGD,Scott's Liquid Gold - Inc.
570,88121,SEB,SEABOARD CORP /DE/
571,88205,SPXC,SPX CORP
572,88790,IIN,INTRICON CORP
573,88941,SMTC,SEMTECH CORP
574,88948,SENEB,Seneca Foods Corp
575,88948,SENEA,Seneca Foods Corp
576,89089,SCI,SERVICE CORP INTERNATIONAL
577,89140,SVT,SERVOTRONICS INC /DE/
578,89439,MLI,MUELLER INDUSTRIES INC
579,89800,SHW,SHERWIN WILLIAMS CO
580,90168,SIF,SIFCO INDUSTRIES INC
